employment_matrix,2023 National Employment Matrix code,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2023[1]",education_needed,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading
  Electricians,47-2111,779.8,864.1,84.3,10.8,"61,590",High school diploma or equivalent,3.9,2.5,2.9,3.5,3.2,3.9,3.6,3.2,3.7,3.1,3.4,3.4,3.8,3.3,1.8,2.9,3.2
  Glaziers,47-2121,56.5,58.6,2.1,3.8,"51,100",High school diploma or equivalent,3.3,2.0,2.5,2.8,2.9,3.8,3.2,3.0,3.1,2.5,2.6,3.1,3.3,2.6,1.6,2.6,2.7
"  Insulation workers, floor, ceiling, and wall",47-2131,39.1,40.2,1.0,2.7,"47,540",No formal educational credential,3.2,1.6,2.5,2.6,2.8,3.3,3.0,2.9,2.9,2.3,2.6,3.3,3.1,2.3,1.4,2.5,2.5
"  Insulation workers, mechanical",47-2132,23.4,24.6,1.2,5.1,"53,920",High school diploma or equivalent,3.7,2.1,2.7,2.7,2.8,3.4,3.0,3.1,3.3,2.5,2.3,3.3,3.3,2.7,1.8,2.7,2.5
"  Painters, construction and maintenance",47-2141,338.9,352.4,13.6,4.0,"47,700",No formal educational credential,3.5,2.1,2.7,2.7,2.7,3.5,3.2,3.2,3.4,2.3,2.2,3.2,3.0,2.7,2.0,2.7,2.7
  Paperhangers,47-2142,2.9,3.1,0.2,5.7,"48,460",No formal educational credential,3.5,1.7,2.5,2.5,2.6,3.5,3.0,2.9,2.7,2.3,2.0,3.2,3.2,2.2,1.8,2.5,2.3
  Pipelayers,47-2151,37.3,36.4,-0.9,-2.3,"47,330",No formal educational credential,3.4,1.7,2.5,2.6,2.7,3.9,3.3,3.0,3.0,2.5,3.3,3.2,3.3,2.3,2.4,2.8,2.6
"  Plumbers, pipefitters, and steamfitters",47-2152,473.4,499.7,26.3,5.6,"61,550",High school diploma or equivalent,3.6,2.4,2.7,3.1,2.8,3.7,3.5,3.0,3.2,2.8,3.2,3.2,3.8,2.7,2.2,2.6,2.8
  Plasterers and stucco masons,47-2161,24.1,24.9,0.8,3.3,"52,640",No formal educational credential,3.3,1.8,2.7,2.6,2.5,3.5,3.3,3.1,3.2,2.3,2.4,3.3,3.2,2.6,1.5,2.6,2.6
  Reinforcing iron and rebar workers,47-2171,21.9,22.9,0.9,4.2,"54,850",High school diploma or equivalent,3.3,1.8,2.4,2.7,2.5,3.5,3.4,2.7,3.3,2.5,2.2,3.6,3.0,2.5,1.6,2.5,2.3
  Roofers,47-2181,168.1,177.9,9.8,5.8,"50,030",No formal educational credential,3.5,1.9,2.6,2.7,3.1,3.8,3.1,3.0,3.4,2.4,2.6,3.5,3.2,2.7,1.8,2.7,2.5
  Sheet metal workers,47-2211,124.2,127.1,2.9,2.3,"58,780",High school diploma or equivalent,3.4,2.5,2.6,2.9,3.1,4.0,3.4,3.1,3.8,3.2,3.2,3.1,3.1,2.7,1.8,2.7,2.7
  Structural iron and steel workers,47-2221,66.1,68.9,2.7,4.1,"62,760",High school diploma or equivalent,3.6,1.6,2.5,2.7,2.6,3.9,3.7,3.1,3.1,2.7,2.7,3.8,3.3,2.4,1.6,2.8,2.6
  Solar photovoltaic installers,47-2231,25.0,37.0,12.0,48.0,"48,800",High school diploma or equivalent,3.5,2.2,2.7,2.9,2.8,3.7,3.2,3.0,3.2,2.5,3.1,3.1,3.5,2.7,1.8,2.7,2.7
"  Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,17.1,15.6,-1.6,-9.1,"42,470",No formal educational credential,3.3,1.4,2.4,2.6,2.4,3.5,3.3,2.8,3.0,2.4,2.7,3.4,3.0,2.5,1.6,2.5,2.3
  Helpers--carpenters,47-3012,22.3,21.6,-0.7,-3.0,"39,380",No formal educational credential,3.5,1.8,2.8,2.7,2.6,3.8,3.2,2.8,2.8,2.7,3.0,3.1,3.3,2.4,1.8,2.8,2.5
  Helpers--electricians,47-3013,71.5,72.2,0.7,1.0,"38,340",High school diploma or equivalent,3.6,2.5,2.7,2.9,3.0,3.7,3.4,3.1,3.2,2.5,3.3,3.2,3.3,2.9,2.2,2.9,2.6
"  Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,7.8,8.0,0.1,1.9,"37,010",No formal educational credential,3.1,1.3,2.1,2.3,2.1,3.1,2.9,2.8,2.7,1.4,2.2,3.3,2.9,1.8,1.3,2.6,2.1
"  Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,47.1,49.8,2.8,5.9,"37,650",High school diploma or equivalent,3.5,1.7,2.6,2.6,3.0,3.4,3.2,2.9,2.8,2.5,2.8,3.2,3.0,2.6,1.5,2.5,2.3
  Helpers--roofers,47-3016,4.8,5.0,0.3,5.6,"38,620",No formal educational credential,3.6,2.0,2.6,2.6,2.9,3.8,3.2,3.1,3.3,2.5,2.8,3.3,3.0,2.7,1.6,2.8,2.5
"  Helpers, construction trades, all other[2]",47-3019,28.0,30.4,2.3,8.3,"40,220",No formal educational credential,3.5,2.0,2.6,2.7,2.8,3.6,3.3,3.0,3.0,2.5,3.0,3.2,3.2,2.7,1.9,2.7,2.4
  Construction and building inspectors,47-4011,142.6,142.7,0.0,0.0,"67,700",High school diploma or equivalent,3.7,3.3,2.5,3.4,3.3,3.6,1.9,3.0,3.0,3.1,1.8,2.3,3.6,2.3,2.1,3.3,3.5
  Elevator and escalator installers and repairers,47-4021,24.4,25.8,1.4,5.7,"102,420",High school diploma or equivalent,3.8,3.3,2.6,3.3,3.3,4.1,3.5,2.9,3.0,2.5,3.9,3.1,3.9,2.6,2.1,2.8,3.0
  Fence erectors,47-4031,24.3,25.5,1.2,4.8,"44,410",No formal educational credential,3.2,1.9,2.4,2.7,3.0,3.8,3.2,3.0,3.3,2.5,2.6,3.4,3.0,2.6,1.7,2.7,2.3
  Hazardous materials removal workers,47-4041,50.3,50.9,0.5,1.0,"47,280",High school diploma or equivalent,3.8,2.4,2.8,3.2,3.0,3.6,3.2,3.4,3.2,2.4,2.8,2.9,3.1,2.7,2.3,3.1,3.1
  Highway maintenance workers,47-4051,160.4,166.5,6.1,3.8,"47,360",High school diploma or equivalent,3.2,2.4,2.5,2.6,3.6,3.8,3.4,3.4,3.3,2.3,2.7,3.2,3.3,2.6,1.8,2.8,2.6
  Rail-track laying and maintenance equipment operators,47-4061,17.7,18.1,0.4,2.5,"67,000",High school diploma or equivalent,3.4,2.1,2.7,2.8,2.7,3.7,3.4,3.1,3.3,2.4,3.2,3.3,3.4,2.8,2.0,2.7,2.7
  Septic tank servicers and sewer pipe cleaners,47-4071,30.1,32.6,2.4,8.1,"46,910",High school diploma or equivalent,3.3,2.2,2.3,2.7,3.3,3.2,3.4,3.0,2.7,2.5,3.1,3.1,3.4,2.4,2.0,2.7,2.7
  Miscellaneous construction and related workers[2],47-4090,31.6,32.9,1.3,4.0,"47,090",High school diploma or equivalent,3.5,2.6,2.5,3.0,3.3,3.7,2.9,3.2,3.2,2.6,2.6,2.9,3.4,2.5,2.0,3.0,3.0
"  Derrick operators, oil and gas",47-5011,12.1,12.5,0.4,3.1,"58,210",No formal educational credential,3.4,2.0,2.3,2.8,2.6,3.5,3.6,3.0,3.2,2.7,3.3,3.6,3.5,2.4,1.9,2.9,2.8
"  Rotary drill operators, oil and gas",47-5012,12.8,13.1,0.3,2.2,"61,770",No formal educational credential,3.6,1.9,2.6,3.0,2.8,4.2,3.5,3.1,3.7,2.8,3.2,3.0,3.7,2.4,1.9,3.1,3.2
"  Service unit operators, oil and gas",47-5013,48.7,49.7,1.0,2.1,"55,750",No formal educational credential,3.7,2.5,2.5,2.9,2.8,4.0,3.5,3.5,3.9,3.1,3.4,3.2,3.8,2.8,2.2,2.9,3.1
"  Excavating and loading machine and dragline operators, surface mining",47-5022,34.4,34.1,-0.3,-0.8,"50,050",High school diploma or equivalent,3.4,1.9,2.4,2.7,2.3,3.6,3.8,3.1,3.3,2.3,3.3,2.8,3.4,2.6,1.5,2.7,2.9
"  Earth drillers, except oil and gas",47-5023,18.9,19.7,0.8,4.0,"56,660",High school diploma or equivalent,3.5,1.8,2.6,2.9,2.6,3.7,3.5,3.0,3.0,2.4,3.4,2.7,3.4,2.6,1.9,2.7,2.9
"  Explosives workers, ordnance handling experts, and blasters",47-5032,4.8,4.8,0.1,1.2,"61,590",High school diploma or equivalent,4.0,2.6,2.7,3.4,2.8,4.2,3.4,3.0,3.7,2.9,2.8,3.0,3.8,2.9,2.0,3.1,3.0
  Continuous mining machine operators,47-5041,16.1,15.8,-0.3,-1.8,"61,420",No formal educational credential,3.5,1.7,2.4,2.8,2.1,4.0,3.5,3.0,3.1,2.1,3.4,3.0,3.6,2.2,1.7,2.7,2.4
"  Roof bolters, mining",47-5043,2.0,1.4,-0.6,-32.0,"66,660",High school diploma or equivalent,3.5,1.7,2.1,2.6,2.2,3.9,3.7,2.9,3.2,2.1,3.4,3.5,3.2,2.5,1.6,2.7,2.5
"  Loading and moving machine operators, underground mining",47-5044,5.3,4.1,-1.2,-22.9,"64,070",No formal educational credential,3.1,1.5,2.1,2.4,2.1,3.5,3.3,2.8,2.8,2.0,3.1,2.9,2.7,2.0,1.5,2.7,2.4
"  Underground mining machine operators, all other[2]",47-5049,2.6,2.5,-0.1,-4.5,"68,910",No formal educational credential,3.4,1.7,2.3,2.7,2.1,3.9,3.5,3.0,3.1,2.1,3.3,3.0,3.3,2.2,1.7,2.7,2.4
"  Rock splitters, quarry",47-5051,3.7,3.8,0.1,2.8,"46,530",No formal educational credential,2.9,1.7,2.3,2.4,1.8,3.3,3.2,2.9,2.4,2.1,2.5,3.2,2.6,1.9,1.8,2.6,2.3
"  Roustabouts, oil and gas",47-5071,46.0,48.6,2.5,5.5,"46,340",No formal educational credential,3.1,2.2,2.4,2.5,2.7,3.5,3.3,3.0,3.3,2.1,3.0,3.3,3.4,2.8,1.7,2.6,2.2
  Helpers--extraction workers,47-5081,7.7,7.8,0.1,1.8,"45,520",High school diploma or equivalent,3.4,2.2,2.5,2.7,2.7,3.7,3.5,3.1,3.5,2.5,3.6,3.4,3.5,3.0,1.9,2.8,2.8
"  Extraction workers, all other[2]",47-5099,7.4,7.4,0.0,-0.5,"49,580",High school diploma or equivalent,3.4,2.1,2.4,2.8,2.6,3.8,3.5,3.1,3.4,2.5,3.3,3.1,3.5,2.6,1.8,2.8,2.7
"  First-line supervisors of mechanics, installers, and repairers",49-1011,604.3,626.2,21.9,3.6,"75,820",High school diploma or equivalent,3.9,3.4,2.8,3.5,3.0,3.6,3.0,3.3,3.9,3.0,3.2,2.5,3.8,3.4,1.9,3.4,3.5
"  Computer, automated teller, and office machine repairers",49-2011,85.7,84.0,-1.7,-2.0,"45,760","Some college, no degree",3.6,3.6,2.6,3.1,3.2,3.5,3.2,2.6,2.3,1.9,3.4,2.3,3.6,2.5,1.5,3.1,3.0
"  Radio, cellular, and tower equipment installers and repairers",49-2021,12.0,12.9,0.8,6.8,"61,310",Associate's degree,3.9,3.7,2.8,3.0,3.0,3.8,3.3,3.2,3.3,2.7,3.4,2.8,3.5,2.8,1.8,3.0,3.2
"  Telecommunications equipment installers and repairers, except line installers",49-2022,162.3,156.8,-5.5,-3.4,"61,270",Postsecondary nondegree award,3.8,3.8,2.7,3.3,3.5,3.5,3.3,3.3,2.7,2.8,3.4,3.0,3.9,2.3,1.8,3.2,3.2
  Avionics technicians,49-2091,21.9,23.5,1.7,7.6,"77,420",Postsecondary nondegree award,3.9,3.7,2.8,3.4,2.7,4.0,3.3,3.1,3.1,2.6,3.5,2.4,3.6,2.5,2.4,3.0,3.5
"  Electric motor, power tool, and related repairers",49-2092,17.7,18.6,0.9,5.0,"49,230",High school diploma or equivalent,3.7,2.7,2.7,3.1,2.7,3.9,3.6,3.0,3.3,2.7,3.8,2.8,3.7,2.8,1.9,2.6,3.1
"  Electrical and electronics installers and repairers, transportation equipment",49-2093,7.6,8.2,0.5,6.9,"79,160",Postsecondary nondegree award,3.7,3.2,2.9,3.2,2.5,3.9,3.3,3.1,3.2,2.6,3.2,2.8,3.3,2.5,2.2,2.8,2.9
"  Electrical and electronics repairers, commercial and industrial equipment",49-2094,59.8,60.5,0.7,1.2,"66,680",Postsecondary nondegree award,3.7,3.8,2.8,3.4,2.6,3.8,3.3,3.2,2.9,3.0,3.5,2.5,3.5,2.5,2.4,3.0,3.1
"  Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,25.4,25.7,0.2,0.8,"96,600",Postsecondary nondegree award,3.9,3.6,2.7,3.4,2.4,4.3,3.2,3.2,3.0,3.0,3.5,2.6,3.6,2.6,2.6,2.9,3.2
"  Electronic equipment installers and repairers, motor vehicles",49-2096,9.1,7.9,-1.2,-13.2,"45,570",High school diploma or equivalent,3.7,3.2,2.9,3.2,3.3,4.1,3.5,3.1,3.1,2.6,3.3,2.9,3.5,2.6,1.8,2.9,3.1
  Audiovisual equipment installers and repairers,49-2097,27.8,28.3,0.5,1.9,"48,380",Postsecondary nondegree award,3.5,3.6,2.8,3.1,3.3,3.4,3.1,2.9,3.0,2.5,3.2,2.6,3.3,2.7,1.5,3.0,3.0
  Security and fire alarm systems installers,49-2098,86.0,93.4,7.4,8.6,"56,430",High school diploma or equivalent,4.0,3.4,2.7,3.1,3.2,3.8,3.0,3.1,2.9,2.3,3.1,2.7,3.8,2.4,1.6,3.1,3.0
  Aircraft mechanics and service technicians,49-3011,141.4,148.7,7.3,5.2,"75,020",Postsecondary nondegree award,3.8,3.1,2.7,3.4,2.7,4.2,3.5,3.2,3.2,2.6,3.9,2.7,3.9,2.6,2.4,2.9,3.5
  Automotive body and related repairers,49-3021,169.2,171.4,2.1,1.3,"48,740",High school diploma or equivalent,3.6,2.1,3.0,2.9,2.5,4.0,3.5,2.9,2.9,2.3,3.0,3.0,3.4,2.8,1.7,2.7,2.6
  Automotive glass installers and repairers,49-3022,21.7,22.1,0.4,2.0,"45,320",High school diploma or equivalent,3.5,2.0,2.3,2.5,3.1,3.6,3.0,2.9,2.3,2.1,2.7,2.8,3.0,2.0,1.5,2.5,2.5
  Automotive service technicians and mechanics,49-3023,794.6,815.9,21.2,2.7,"47,770",Postsecondary nondegree award,3.5,2.9,2.5,3.2,3.1,3.9,3.8,2.8,2.7,2.3,3.7,2.9,3.8,2.4,1.9,2.7,3.0
  Bus and truck mechanics and diesel engine specialists,49-3031,300.2,308.7,8.5,2.8,"58,970",High school diploma or equivalent,3.6,3.1,2.6,3.2,2.5,3.8,3.7,2.9,2.8,2.3,3.8,3.2,3.7,2.4,2.4,2.8,2.8
  Farm equipment mechanics and service technicians,49-3041,48.0,53.5,5.5,11.4,"49,210",High school diploma or equivalent,3.6,2.8,2.6,3.2,2.9,3.9,3.9,3.1,2.6,2.7,3.7,3.3,3.6,2.4,2.2,2.8,2.9
"  Mobile heavy equipment mechanics, except engines",49-3042,191.1,207.3,16.2,8.5,"61,900",High school diploma or equivalent,3.5,3.2,2.8,3.1,2.8,3.9,3.9,3.1,2.9,2.9,4.0,3.3,3.7,2.7,2.0,2.7,3.1
  Rail car repairers,49-3043,20.2,21.1,0.9,4.4,"65,030",High school diploma or equivalent,3.3,2.2,2.7,2.8,2.4,3.6,3.7,2.9,2.9,2.4,3.5,3.3,3.2,2.5,1.7,2.6,2.7
  Motorboat mechanics and service technicians,49-3051,26.1,27.8,1.8,6.7,"49,990",High school diploma or equivalent,3.5,2.8,2.5,3.1,3.2,3.8,3.5,2.9,2.6,2.5,3.6,2.9,3.6,2.5,2.3,2.7,2.7
  Motorcycle mechanics,49-3052,16.0,16.4,0.4,2.5,"46,270",Postsecondary nondegree award,3.9,3.1,2.8,3.3,3.2,4.3,3.6,3.1,2.8,2.4,3.7,3.0,3.8,2.8,1.9,2.9,2.9
  Outdoor power equipment and other small engine mechanics,49-3053,40.0,41.2,1.2,2.9,"44,140",High school diploma or equivalent,3.6,2.8,2.7,2.9,2.9,3.5,3.7,2.9,2.6,2.2,3.5,2.7,3.5,2.4,2.2,2.6,2.8
  Bicycle repairers,49-3091,14.5,15.3,0.8,5.6,"38,320",High school diploma or equivalent,4.1,2.9,2.7,3.0,4.1,4.0,3.6,3.7,3.0,2.4,3.3,2.6,3.8,2.7,1.7,3.1,2.9
  Recreational vehicle service technicians,49-3092,18.4,20.2,1.8,9.9,"47,950",High school diploma or equivalent,3.6,2.4,2.6,3.0,3.3,3.6,3.4,3.1,2.8,2.0,3.3,3.0,3.5,2.5,1.7,3.0,3.0
  Tire repairers and changers,49-3093,107.6,113.3,5.7,5.3,"35,790",High school diploma or equivalent,3.4,2.2,2.5,2.7,3.5,3.9,3.3,3.0,2.9,2.2,2.9,3.3,3.3,2.4,1.4,2.7,2.5
  Mechanical door repairers,49-9011,27.7,30.9,3.2,11.4,"48,650",High school diploma or equivalent,3.4,2.4,2.7,2.8,3.1,3.5,3.2,3.2,2.9,2.4,3.2,3.2,3.5,2.4,1.4,2.8,2.9
"  Control and valve installers and repairers, except mechanical door",49-9012,48.8,49.6,0.8,1.6,"70,100",High school diploma or equivalent,3.5,3.3,2.6,3.0,3.0,3.8,3.2,3.1,3.0,2.4,3.3,2.7,3.5,2.6,2.2,2.9,3.0
"  Heating, air conditioning, and refrigeration mechanics and installers",49-9021,441.2,481.3,40.1,9.1,"57,300",Postsecondary nondegree award,3.7,3.0,2.9,3.3,3.1,3.8,3.4,3.3,3.3,2.6,3.5,3.0,3.8,2.7,2.3,2.9,3.1
  Home appliance repairers,49-9031,37.5,37.8,0.3,0.8,"47,170",High school diploma or equivalent,3.7,3.0,2.4,3.1,3.7,3.6,3.4,2.9,2.8,2.5,3.4,2.8,3.6,2.7,1.9,2.9,3.0
  Industrial machinery mechanics,49-9041,429.5,503.3,73.8,17.2,"61,420",High school diploma or equivalent,3.7,2.9,2.8,3.1,2.0,3.4,3.8,2.9,3.0,2.5,3.7,3.0,3.3,2.4,2.0,2.6,3.0
"  Maintenance workers, machinery",49-9043,59.0,63.6,4.6,7.8,"57,350",High school diploma or equivalent,3.4,2.4,2.7,2.8,2.2,3.8,3.2,2.9,2.7,2.4,3.6,2.9,3.2,2.4,2.1,2.6,2.7
  Millwrights,49-9044,42.3,44.3,2.0,4.8,"62,980",High school diploma or equivalent,3.9,2.7,2.7,3.1,2.8,4.2,3.8,3.2,3.8,3.1,3.7,3.4,3.6,2.9,2.2,2.9,3.0
"  Refractory materials repairers, except brickmasons",49-9045,0.6,0.5,-0.1,-17.8,"48,410",High school diploma or equivalent,3.3,1.6,2.2,2.6,2.1,3.5,3.2,2.8,2.8,2.2,2.8,3.3,3.1,2.4,1.6,2.7,2.7
  Electrical power-line installers and repairers,49-9051,123.4,132.8,9.4,7.6,"85,420",High school diploma or equivalent,3.7,2.3,2.5,3.0,3.0,4.0,3.4,3.1,3.3,2.2,3.3,3.2,3.9,2.2,1.8,2.8,2.8
  Telecommunications line installers and repairers,49-9052,102.2,99.4,-2.8,-2.7,"64,640",High school diploma or equivalent,3.8,3.1,2.6,3.0,3.6,3.8,3.1,3.3,2.9,2.2,3.1,3.1,3.5,2.5,1.6,3.1,2.9
  Camera and photographic equipment repairers,49-9061,2.6,2.2,-0.4,-16.9,"46,850",High school diploma or equivalent,3.5,3.1,2.8,2.9,2.8,3.8,3.2,2.5,2.1,2.5,3.0,1.6,3.3,2.5,1.6,2.7,2.7
  Medical equipment repairers,49-9062,67.0,79.3,12.3,18.4,"60,670",Associate's degree,3.8,3.7,2.4,3.1,2.7,4.0,3.2,3.1,2.4,2.9,3.6,2.5,3.6,2.6,2.1,2.7,3.0
  Musical instrument repairers and tuners,49-9063,6.3,6.4,0.1,1.5,"42,800",High school diploma or equivalent,3.6,2.8,3.3,3.2,3.4,3.9,3.7,2.9,2.7,2.2,3.0,2.3,3.6,3.0,1.9,2.8,2.7
  Watch and clock repairers,49-9064,1.9,1.9,0.0,0.0,"58,140",High school diploma or equivalent,3.3,2.3,2.6,3.0,3.1,3.8,3.8,2.9,1.8,2.1,3.0,1.6,3.3,2.8,1.7,2.6,2.6
"  Precision instrument and equipment repairers, all other[2]",49-9069,10.9,11.2,0.4,3.5,"62,040",High school diploma or equivalent,3.7,3.6,2.5,3.1,2.8,4.0,3.3,3.0,2.4,2.8,3.5,2.4,3.6,2.6,2.0,2.7,3.0
"  Maintenance and repair workers, general",49-9071,"1,616.5","1,698.3",81.8,5.1,"46,700",High school diploma or equivalent,3.8,3.0,2.8,3.1,3.0,3.6,3.3,3.0,3.1,2.6,3.7,3.1,3.6,2.9,1.7,2.8,3.0
  Wind turbine service technicians,49-9081,11.4,18.2,6.8,60.1,"61,770",Postsecondary nondegree award,3.8,3.7,2.5,3.3,2.5,4.1,3.5,3.2,3.5,2.4,3.9,3.4,3.8,2.8,2.1,3.0,3.1
"  Coin, vending, and amusement machine servicers and repairers",49-9091,39.3,39.2,-0.1,-0.4,"44,980",High school diploma or equivalent,3.6,3.2,2.1,2.8,3.1,3.3,3.3,2.8,2.0,2.2,3.0,2.6,3.4,2.4,1.6,2.6,2.7
  Commercial divers,49-9092,3.2,3.5,0.3,8.3,"61,300",Postsecondary nondegree award,3.9,2.5,2.8,3.2,2.8,4.0,3.5,3.3,3.5,2.4,3.3,3.3,3.6,2.7,2.6,3.2,3.1
  Locksmiths and safe repairers,49-9094,17.6,15.8,-1.7,-9.9,"48,380",High school diploma or equivalent,4.1,3.2,2.8,2.8,3.6,3.7,3.7,3.1,3.1,2.6,3.4,2.7,3.5,3.2,1.4,3.0,3.0
  Manufactured building and mobile home installers,49-9095,3.3,2.7,-0.6,-19.6,"38,980",High school diploma or equivalent,4.0,1.9,3.1,3.1,3.5,3.8,4.0,3.5,4.1,2.9,3.4,3.8,3.9,3.5,2.2,2.9,3.2
  Riggers,49-9096,24.2,25.4,1.2,4.9,"56,220",High school diploma or equivalent,3.5,2.5,2.6,2.8,2.9,4.0,3.3,3.1,3.0,2.0,3.0,3.2,3.4,2.2,1.8,2.9,2.8
  Signal and track switch repairers,49-9097,9.3,9.5,0.2,2.3,"82,710",High school diploma or equivalent,3.5,2.8,2.0,2.8,2.2,3.6,3.5,2.8,2.7,2.6,3.5,2.9,3.4,2.3,1.5,2.7,2.8
"  Helpers--installation, maintenance, and repair workers",49-9098,104.6,109.2,4.6,4.4,"36,710",High school diploma or equivalent,3.5,2.7,2.3,2.8,2.7,3.7,3.3,3.1,2.9,2.3,3.3,3.2,3.4,2.2,1.9,2.7,2.3
"  Installation, maintenance, and repair workers, all other[2]",49-9099,201.5,208.7,7.2,3.6,"46,500",High school diploma or equivalent,3.7,3.0,2.8,3.1,2.9,3.7,3.4,3.1,3.1,2.5,3.6,3.1,3.6,2.7,1.9,2.8,3.0
  First-line supervisors of production and operating workers,51-1011,690.9,695.1,4.2,0.6,"65,930",High school diploma or equivalent,3.9,3.2,2.9,3.5,3.0,3.7,2.7,3.5,4.0,2.9,2.6,2.4,3.9,3.1,1.8,3.6,3.4
"  Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,31.4,26.3,-5.2,-16.4,"61,240",High school diploma or equivalent,3.7,2.7,2.7,2.9,2.3,3.9,3.4,3.1,2.9,2.6,3.0,2.8,3.3,2.8,2.0,2.8,2.9
"  Coil winders, tapers, and finishers",51-2021,12.1,10.9,-1.1,-9.3,"44,890",High school diploma or equivalent,3.4,2.0,2.3,2.6,2.3,4.1,3.2,3.0,2.8,2.3,2.2,2.5,3.1,2.3,1.9,2.7,2.6
"  Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",51-2028,271.1,290.6,19.5,7.2,"40,490",High school diploma or equivalent,3.2,2.4,2.2,2.7,2.2,3.6,3.3,2.7,2.9,2.1,2.6,2.4,3.1,2.3,1.6,2.6,2.9
  Engine and other machine assemblers,51-2031,49.0,38.6,-10.4,-21.3,"50,270",High school diploma or equivalent,3.3,2.5,2.5,2.8,2.5,3.9,3.3,3.1,2.7,2.2,3.0,2.9,3.1,2.1,1.7,2.7,2.6
  Structural metal fabricators and fitters,51-2041,59.3,50.3,-9.1,-15.3,"48,480",High school diploma or equivalent,3.3,1.8,2.3,2.6,2.4,3.7,3.2,3.0,2.5,2.6,2.5,2.7,3.1,1.9,1.8,2.6,2.5
  Fiberglass laminators and fabricators,51-2051,20.9,21.8,1.0,4.6,"40,200",High school diploma or equivalent,3.5,2.0,2.5,2.6,2.4,3.6,3.3,2.9,3.1,2.5,2.4,3.2,2.9,2.4,2.2,2.7,2.9
  Timing device assemblers and adjusters,51-2061,0.4,0.3,-0.1,-16.3,"48,840",High school diploma or equivalent,3.2,2.4,2.4,2.7,2.3,3.2,3.1,2.6,2.3,2.3,3.0,1.5,3.3,2.1,1.6,2.5,2.6
  Miscellaneous assemblers and fabricators[2],51-2090,"1,520.8","1,527.9",7.0,0.5,"38,920",High school diploma or equivalent,3.4,2.7,2.4,2.8,2.2,3.6,3.2,3.0,3.1,2.3,2.4,2.6,3.2,2.4,1.7,2.8,2.9
  Bakers,51-3011,243.4,256.1,12.7,5.2,"34,950",No formal educational credential,3.4,2.2,2.6,2.6,2.7,3.6,3.0,3.0,2.8,2.5,1.7,2.4,3.1,2.3,1.7,2.8,2.6
  Butchers and meat cutters,51-3021,139.1,136.2,-2.9,-2.1,"37,650",No formal educational credential,3.4,2.2,2.2,2.6,3.8,3.7,3.4,3.3,3.3,2.5,2.1,2.8,3.4,2.8,1.4,2.7,2.5
"  Meat, poultry, and fish cutters and trimmers",51-3022,141.1,147.7,6.6,4.7,"36,300",No formal educational credential,3.3,2.1,2.5,2.5,3.0,3.9,3.3,3.2,3.3,2.5,2.4,2.8,3.1,2.6,2.1,2.7,2.5
  Slaughterers and meat packers,51-3023,72.8,73.8,1.0,1.4,"38,160",No formal educational credential,3.3,1.6,2.1,2.3,2.4,3.5,3.4,2.7,2.6,2.1,1.9,2.7,2.5,2.1,1.6,2.5,2.0
"  Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,19.6,20.0,0.4,2.2,"39,850",No formal educational credential,3.3,2.4,2.2,2.8,2.5,3.8,3.1,3.0,3.0,1.8,2.6,2.7,3.2,2.3,1.5,2.8,3.0
  Food batchmakers,51-3092,171.3,186.8,15.5,9.1,"38,460",High school diploma or equivalent,3.6,2.7,2.3,2.8,2.0,3.8,3.0,3.1,2.9,2.6,2.4,2.6,3.1,2.1,2.3,2.8,3.0
  Food cooking machine operators and tenders,51-3093,30.7,31.1,0.3,1.0,"38,550",High school diploma or equivalent,3.4,2.5,2.1,2.7,2.2,3.6,3.2,2.6,2.6,2.1,2.2,2.6,3.3,2.4,1.7,2.6,3.1
"  Food processing workers, all other[2]",51-3099,66.8,69.7,2.9,4.4,"36,890",No formal educational credential,3.4,2.3,2.4,2.6,2.7,3.7,3.2,3.1,3.0,2.4,2.1,2.6,3.1,2.4,1.8,2.7,2.6
"  Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,64.1,65.3,1.3,2.0,"44,390",High school diploma or equivalent,3.4,2.5,2.3,2.7,2.1,3.9,3.3,2.9,3.0,2.7,2.8,3.2,3.6,2.4,1.4,2.6,2.6
"  Forging machine setters, operators, and tenders, metal and plastic",51-4022,9.3,7.9,-1.5,-15.7,"46,990",High school diploma or equivalent,3.4,2.5,2.7,2.7,2.3,3.7,3.2,2.9,3.1,2.5,2.9,2.6,3.3,2.1,1.9,2.9,3.0
